,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
1095,The Rolling Stones Rock and Roll Circus,7.7,N/A,"1,780",1h 5min,12 October 1996 (USA),Michael Lindsay-Hogg
1096,The Woman Who Wasn't There,6.8,N/A,"1,775",1h 5min,7 September 2012 (Germany),Angelo J. Guglielmo Jr.
1097,Up the Yangtze,7.5,84,"1,775",1h 33min,11 July 2008 (Poland),Yung Chang
1098,1915 Armenian Genocide,4.7,N/A,"1,774",1h,October 2010 (USA),Mark Bedrosian
1099,The Arbor,7.3,88,"1,770",1h 34min,25 April 2010 (USA),Clio Barnard
1100,Arctic Tale,7.0,64,"1,770",1h 36min,17 August 2007 (USA),Adam Ravetch
1101,Dear Mr. Watterson,6.4,N/A,"1,768",1h 29min,18 May 2014 (Netherlands),Joel Allen Schroeder
1102,Sign 'o' the Times,8.1,72,"1,766",1h 25min,20 November 1987 (USA),Prince
1103,The 24 Hour War,7.2,N/A,"1,758",1h 39min,2016 (USA),Nate Adams
1104,Surviving Progress,7.4,N/A,"1,758",1h 26min,23 March 2013 (Japan),Mathieu Roy
1105,Terrorstorm,7.4,N/A,"1,755",1h 53min,Video 24 June 2006,Alex Jones
1106,"Hale County This Morning, This Evening",6.3,85,"1,754",1h 16min,14 September 2018 (USA),RaMell Ross
1107,Seduced and Abandoned,6.6,77,"1,750",1h 38min,8 November 2013 (UK),James Toback
1108,Steve Jobs: The Lost Interview,8.0,N/A,"1,749",1h 10min,6 September 2012 (Germany),Paul Sen
1109,Louis Theroux: Savile,7.4,N/A,"1,747",1h 15min,TV Movie 2 October 2016,Arthur Cary
1110,Terror in the Aisles,6.5,N/A,"1,747",1h 24min,26 October 1984 (USA),Andrew J. Kuehn
1111,The Two Escobars,8.2,N/A,"1,746",1h 44min,27 August 2010 (USA),Jeff Zimbalist
1112,Last Days Here,7.5,71,"1,746",1h 31min,29 April 2011 (USA),Don Argott
1113,Revenge of the Electric Car,7.2,63,"1,745",1h 30min,20 July 2012 (UK),Chris Paine
1114,Year of the Horse,6.7,N/A,"1,744",1h 46min,8 October 1997 (USA),Jim Jarmusch
1115,Madonna: The Confessions Tour Live from London,9.1,N/A,"1,741",2h 1min,TV Special 22 November 2006,Jonas Åkerlund
1116,Born Rich,6.5,N/A,"1,741",1h 15min,19 January 2003 (USA),Jamie Johnson
1117,The Trader,6.7,N/A,"1,740",23min,9 February 2018 (USA),Tamta Gabrichidze
1118,The Enemies of Reason,8.3,N/A,"1,740",1h 30min,TV Movie 13 August 2007,Russell Barnes
1119,Hands on a Hardbody: The Documentary,7.6,82,"1,738",1h 38min,10 July 1998 (USA),S.R. Bindler
1120,Art & Copy,6.8,62,"1,737",1h 29min,21 August 2009 (USA),Doug Pray
1121,Top Gear: The Worst Car in the History of the World,7.8,N/A,"1,736",1h 14min,Video 19 November 2012,Jeremy Clarkson
1122,Atlantis,6.7,N/A,"1,735",1h 18min,November 1992 (USA),Luc Besson
1123,Le monde selon Monsanto,8.0,N/A,"1,734",1h 48min,TV Movie 11 March 2008,Marie-Monique Robin
1124,Chris Tucker Live,6.3,N/A,"1,733",1h 32min,TV Special 10 July 2015,Phil Joanou
1125,Carrie Fisher: Wishful Drinking,7.6,N/A,"1,731",1h 17min,TV Movie 12 December 2010,Fenton Bailey
1126,Valentino: The Last Emperor,7.2,68,"1,731",1h 36min,8 May 2009 (USA),Matt Tyrnauer
1127,Under the Sea 3D,7.5,77,"1,730",41min,13 February 2009 (USA),Howard Hall
1128,"Dirty John, The Dirty Truth",6.1,N/A,"1,727",1h 28min,TV Movie 14 January 2019,Sara Mast
1129,Ghosts of Cité Soleil,7.1,64,"1,727",1h 25min,3 May 2007 (Denmark),Asger Leth
1130,Occupation 101,8.4,N/A,"1,724",1h 30min,15 May 2007 (USA),Abdallah Omeish
1131,Boys State,7.7,84,"1,724",1h 49min,14 August 2020 (USA),Amanda McBaine
1132,Hiroshima,7.8,N/A,"1,723",1h 30min,TV Movie 5 August 2005,Paul Wilmshurst
1133,Demetri Martin. Person.,7.7,N/A,"1,719",42min,TV Special 14 January 2007,Jay Karas
1134,Hired Gun,7.2,N/A,"1,716",1h 38min,1 August 2017 (USA),Fran Strine
1135,Exporting Raymond,6.9,N/A,"1,716",1h 26min,21 October 2010 (USA),Phil Rosenthal
1136,Blue Collar Comedy Tour Rides Again,7.1,N/A,"1,716",1h 46min,TV Special 5 December 2004,C.B. Harding
1137,Monster: The Josef Fritzl Story,4.9,N/A,"1,715",48min,N/A,David Notman-Watt
1138,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,8.3,N/A,"1,713",1h 26min,6 August 2007 (USA),Steven Okazaki
1139,Armenian Genocide,5.4,N/A,"1,712",1h,TV Movie 17 April 2006,Andrew Goldberg
1140,Tom Petty and the Heartbreakers: Runnin' Down a Dream,8.6,N/A,"1,711",4h 19min,14 October 2007 (USA),Peter Bogdanovich
1141,Halloween: 25 Years of Terror,7.6,N/A,"1,711",1h 23min,Video 25 July 2006,Stefan Hutchinson
1142,Dear America: Letters Home from Vietnam,7.9,N/A,"1,711",1h 24min,TV Movie September 1988,Bill Couturié
1143,High School,7.6,N/A,"1,710",1h 15min,May 1969 (USA),Frederick Wiseman
1144,Out of Thin Air,6.3,N/A,"1,702",1h 25min,1 May 2017 (Canada),Dylan Howitt
1145,Dawg Fight,6.3,N/A,"1,700",1h 49min,13 March 2015 (USA),Billy Corben
1146,"3 1/2 Minutes, 10 Bullets",7.2,76,"1,699",1h 38min,2 October 2015 (UK),Marc Silver
1147,General Idi Amin Dada: A Self Portrait,7.4,N/A,"1,699",1h 32min,30 August 1976 (USA),Barbet Schroeder
1148,A Film Unfinished,7.4,88,"1,698",1h 28min,2010 (Israel),Yael Hersonski
1149,Elephant,7.2,61,"1,694",1h 26min,3 April 2020 (USA),Mark Linfield
1150,My Flesh and Blood,8.2,78,"1,693",1h 23min,17 January 2003 (USA),Jonathan Karsh
1151,Hitler: A career,7.5,N/A,"1,692",2h 30min,8 July 1977 (West Germany),Joachim Fest
1152,"Hello, Privilege. It's Me, Chelsea",4.3,N/A,"1,691",1h 4min,TV Movie 13 September 2019,Alex Stapleton
1153,Marching to Zion,5.6,N/A,"1,687",1h 41min,26 March 2015 (USA),Paul Wittenberger
1154,American Anarchist,5.8,N/A,"1,686",1h 20min,8 October 2016 (USA),Charlie Siskel
1155,Matangi/Maya/M.I.A,7.5,70,"1,683",1h 36min,28 September 2018 (USA),Steve Loveridge
1156,Beyond the Edge,6.9,N/A,"1,683",1h 30min,4 July 2014 (USA),Leanne Pooley
1157,Salam Cinema,7.7,N/A,"1,681",1h 15min,14 April 1995 (USA),Mohsen Makhmalbaf
1158,Thin,7.4,N/A,"1,680",1h 42min,October 2006 (USA),Lauren Greenfield
1159,Mystify: Michael Hutchence,7.3,73,"1,680",1h 42min,4 July 2019 (Australia),Richard Lowenstein
1160,Fire in Babylon,7.7,69,"1,679",1h 27min,22 July 2011 (USA),Stevan Riley
1161,Feminists: What Were They Thinking?,6.9,N/A,"1,679",1h 26min,12 October 2018 (USA),Johanna Demetrakas
1162,I Knew It Was You: Rediscovering John Cazale,7.8,N/A,"1,677",39min,16 January 2009 (USA),Richard Shepard
1163,Extraordinary: The Stan Romanek Story,3.8,N/A,"1,676",1h 45min,2 November 2013 (USA),Jon Sumple
1164,Let's Make Money,7.5,N/A,"1,671",1h 50min,31 October 2008 (Austria),Erwin Wagenhofer
1165,Paper Clips,7.2,64,"1,668",1h 22min,4 August 2006 (UK),Elliot Berlin
1166,Peter Kay: Live at the Top of the Tower,8.0,N/A,"1,667",1h 10min,Video November 2000,Marcus Mortimer
1167,Der Sieg des Glaubens,6.5,N/A,"1,667",1h 1min,1 December 1933 (Germany),Leni Riefenstahl
1168,Rammstein: Live aus Berlin,9.1,N/A,"1,663",1h 37min,Video 1999,Hamish Hamilton
1169,"Love, Marilyn",7.3,N/A,"1,661",1h 47min,16 May 2013 (Hong Kong),Liz Garbus
1170,Superheroes,6.5,N/A,"1,657",1h 30min,21 January 2011 (USA),Michael Barnett
1171,The Smashing Machine,7.8,N/A,"1,657",1h 33min,May 2002 (USA),John Hyams
1172,New York Doll,7.7,72,"1,656",1h 15min,28 October 2005 (USA),Greg Whiteley
1173,Deep Sea,7.5,78,"1,655",41min,3 March 2006 (USA),Howard Hall
1174,Tenacious D: The Complete Masterworks,8.5,N/A,"1,654",3h 26min,Video 4 November 2003,Tom Gianas
1175,Elena,7.6,81,"1,653",1h 20min,September 2012 (Brazil),Petra Costa
1176,Queen: Days of Our Lives,8.5,N/A,"1,652",2h,TV Movie 27 June 2011,Matt O'Casey
1177,Green Day: Bullet in a Bible,8.7,N/A,"1,651",1h 55min,Video 15 November 2005,Samuel Bayer
1178,Die Mannschaft,6.3,N/A,"1,650",1h 31min,13 November 2014 (Germany),Martin Christ
1179,Carmencita,5.6,N/A,"1,648",1min,10 March 1894 (USA),William K.L. Dickson
1180,Strike a Pose,7.2,N/A,"1,647",1h 23min,26 May 2016 (Netherlands),Ester Gould
1181,Workingman's Death,8.0,67,"1,647",2h 2min,25 November 2005 (Austria),Michael Glawogger
1182,H.H. Holmes: America's First Serial Killer,6.3,N/A,"1,646",1h 4min,26 October 2004 (USA),John Borowski
1183,Faces of Death II,3.6,N/A,"1,646",1h 25min,10 November 1981 (USA),John Alan Schwartz
1184,Streetwise,8.2,N/A,"1,645",1h 31min,26 October 1984 (USA),Martin Bell
1185,An Unreasonable Man,7.9,75,"1,644",2h 2min,24 January 2006 (USA),Henriette Mantel
1186,The Search for General Tso,6.9,72,"1,643",1h 11min,2 January 2015 (USA),Ian Cheney
1187,Word Wars,6.9,61,"1,643",1h 20min,January 2004 (USA),Eric Chaikin
1188,El sol del membrillo,7.8,82,"1,643",2h 13min,2 April 1993 (UK),Víctor Erice
1189,Rättskiparen,7.9,N/A,"1,640",29min,3 June 2010 (Sweden),Mattias Löw
1190,Pecados de mi padre,7.2,N/A,"1,639",1h 34min,10 December 2009 (Colombia),Nicolas Entel
1191,George Carlin: Carlin on Campus,8.1,N/A,"1,637",1h,TV Special 22 June 1984,Steven J. Santos
1192,Comedy Central Roast of Flavor Flav,6.9,N/A,"1,635",1h 30min,TV Special 12 August 2007,Joel Gallen
1193,Maiden,7.7,82,"1,634",1h 37min,28 June 2019 (USA),Alex Holmes
1194,The Cruise,7.7,69,"1,633",1h 16min,23 October 1998 (USA),Bennett Miller
1195,The Last Gladiators,7.1,61,"1,631",1h 34min,22 April 2012 (USA),Alex Gibney
1196,Examined Life,7.1,64,"1,630",1h 27min,20 November 2009 (UK),Astra Taylor
1197,Point and Shoot,6.8,65,"1,625",1h 23min,16 January 2015 (UK),Marshall Curry
1198,Martin Lawrence Live: Runteldat,5.5,N/A,"1,624",1h 53min,2 August 2002 (USA),David Raynr
1199,Tag der Freiheit - Unsere Wehrmacht,6.2,N/A,"1,622",28min,30 December 1935 (Germany),Leni Riefenstahl
1200,Newtown,6.8,87,"1,621",1h 25min,24 January 2016 (USA),Kim A. Snyder
1201,Given,7.7,N/A,"1,621",1h 12min,12 November 2016 (USA),Jess Bianchi
1202,Russell Peters: Outsourced,8.1,N/A,"1,621",1h 12min,TV Special August 2006,Alan C. Blomquist
1203,Roll Red Roll,7.1,83,"1,608",1h 20min,3 January 2019 (Norway),Nancy Schwartzman
1204,SOMM: Into the Bottle,7.3,N/A,"1,607",1h 30min,29 January 2016 (USA),Jason Wise
1205,George Carlin: Playin' with Your Head,8.1,N/A,"1,607",1h,TV Special 14 June 1986,Rocco Urbisci
1206,Gasland Part II,7.6,N/A,"1,604",2h 5min,21 April 2013 (USA),Josh Fox
1207,Apex: The Story of the Hypercar,7.4,N/A,"1,603",1h 25min,29 March 2016 (USA),J.F. Musial
1208,David Bowie: Five Years,7.7,N/A,"1,597",1h,25 May 2013 (UK),Francis Whately
1209,The Most Unknown,6.6,N/A,"1,596",1h 32min,9 August 2018 (UK),Ian Cheney
1210,Party Monster,7.3,N/A,"1,596",57min,12 February 1999 (USA),Fenton Bailey
1211,These Amazing Shadows,7.6,N/A,"1,595",1h 28min,22 January 2011 (USA),Paul Mariano
1212,Le dernier trappeur,7.1,N/A,"1,595",1h 34min,15 December 2004 (France),Nicolas Vanier
1213,Joan Didion: The Center Will Not Hold,7.4,72,"1,593",1h 34min,27 October 2017 (USA),Griffin Dunne
1214,"Pulp: A Film About Life, Death & Supermarkets",7.2,63,"1,592",1h 30min,19 November 2014 (USA),Florian Habicht
1215,Im toten Winkel - Hitlers Sekretärin,7.3,79,"1,592",1h 30min,22 March 2002 (Austria),André Heller
1216,Hawking,7.3,N/A,"1,591",1h 26min,20 September 2013 (USA),Stephen Finnigan
1217,Diana: In Her Own Words,7.9,N/A,"1,590",1h 52min,TV Movie 14 August 2017,Tom Jennings
1218,Trophy Kids,7.1,N/A,"1,590",1h 47min,4 December 2013 (USA),Chris Bell
1219,Deepsea Challenge,6.8,N/A,"1,588",1h 31min,21 August 2014 (Australia),John Bruno
1220,Knuckleball!,7.1,73,"1,586",1h 33min,18 September 2012 (USA),Ricki Stern
1221,That Guy... Who Was in That Thing,7.1,N/A,"1,585",1h 19min,11 October 2012 (USA),Ian Roumain
1222,Murder to Mercy: The Cyntoia Brown Story,6.3,N/A,"1,584",1h 36min,29 April 2020 (USA),Daniel H. Birman
1223,Into the Arms of Strangers: Stories of the Kindertransport,7.7,79,"1,584",2h 2min,24 November 2000 (UK),Mark Jonathan Harris
1224,Magic & Bird: A Courtship of Rivals,8.3,N/A,"1,583",1h 25min,TV Movie 10 March 2010,Ezra Edelman
1225,Katt Williams: The Pimp Chronicles Pt. 1,7.7,N/A,"1,581",45min,TV Special 16 September 2006,Anthony Anderson
1226,End Game,7.1,N/A,"1,580",40min,4 May 2018 (USA),Rob Epstein
1227,ReMastered: The Two Killings of Sam Cooke,7.3,N/A,"1,579",1h 14min,TV Movie 8 February 2019,Kelly Duane
1228,Blood Brother,8.3,71,"1,579",1h 32min,29 April 2014 (Netherlands),Steve Hoover
1229,Outrage,7.5,64,"1,579",1h 30min,24 April 2009 (USA),Kirby Dick
1230,Iraq for Sale: The War Profiteers,7.6,68,"1,579",1h 15min,1 September 2006 (USA),Robert Greenwald
1231,We Are Twisted Fucking Sister!,7.1,65,"1,578",2h 15min,19 February 2016 (USA),Andrew Horn
1232,Dealt,7.6,66,"1,576",1h 25min,20 October 2017 (USA),Luke Korem
1233,Behind the Planet of the Apes,7.5,N/A,"1,574",2h 7min,TV Movie 6 September 1998,Kevin Burns
1234,The Photographical Congress Arrives in Lyon,5.7,N/A,"1,574",1min,12 June 1895 (France),Louis Lumière
1235,Public Speaking,7.6,N/A,"1,572",1h 24min,22 November 2010 (USA),Martin Scorsese
1236,Tokyo Olympiad,7.8,N/A,"1,573",2h 50min,20 March 1965 (Japan),Kon Ichikawa
1237,Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,6.2,N/A,"1,567",1h 40min,8 February 2008 (USA),Ari Sandel
1238,"Fat, Sick & Nearly Dead 2",6.4,N/A,"1,565",1h 28min,18 March 2015 (Belgium),Kurt Engfehr
1239,Casino Jack and the United States of Money,7.1,68,"1,564",1h 58min,January 2010 (USA),Alex Gibney
1240,American Drug War: The Last White Hope,7.7,N/A,"1,564",2h,N/A,Kevin Booth
1241,Let There Be Light,7.4,N/A,"1,564",58min,16 December 1980 (USA),John Huston
1242,Liv & Ingmar,7.4,74,"1,563",1h 29min,28 September 2012 (Norway),Dheeraj Akolkar
1243,Life Overtakes Me,6.5,N/A,"1,562",39min,14 June 2019 (USA),John Haptas
1244,Batkid Begins: The Wish Heard Around the World,6.8,63,"1,561",1h 27min,26 June 2015 (USA),Dana Nachman
1245,L'enfer d'Henri-Georges Clouzot,7.5,N/A,"1,560",1h 40min,11 November 2009 (France),Serge Bromberg
1246,In the Year of the Pig,7.5,N/A,"1,558",1h 43min,26 February 1969 (USA),Emile de Antonio
1247,The Story of Diana,8.1,N/A,"1,557",4h,TV Movie 9 August 2017,Rebecca Gitlitz
1248,Space Station 3D,7.4,69,"1,556",47min,19 April 2002 (USA),Toni Myers
1249,Sirius,6.3,N/A,"1,555",1h 50min,24 April 2013 (USA),Amardeep Kaleka
1250,Zizek!,7.3,N/A,"1,555",1h 11min,26 April 2007 (Germany),Astra Taylor
1251,Peter Kay: Live at the Bolton Albert Halls,8.1,N/A,"1,554",1h 20min,Video 10 November 2003,Peter Kay
1252,Symbiopsychotaxiplasm: Take One,7.3,71,"1,553",1h 15min,26 October 2005 (USA),William Greaves
1253,Mosul,8.4,N/A,"1,552",1h 26min,12 April 2019 (USA),Daniel Gabriel
1254,Mission Blue,8.0,77,"1,551",1h 35min,15 August 2014 (USA),Robert Nixon
1255,Hell House,6.8,64,"1,548",1h 25min,10 March 2002 (USA),George Ratliff
1256,Louis Theroux: Louis and the Brothel,7.5,N/A,"1,547",1h 20min,TV Movie 9 November 2003,Geoffrey O'Connor
1257,Traceroute,7.2,N/A,"1,546",2h,June 2016 (Austria),Johannes Grenzfurthner
1258,Beltracchi: The Art of Forgery,7.2,73,"1,546",1h 33min,6 March 2014 (Germany),Arne Birkenstock
1259,Tickling Giants,8.3,78,"1,545",1h 51min,10 April 2017 (Egypt),Sara Taksler
1260,Pink Floyd: The Story of Wish You Were Here,8.0,N/A,"1,545",1h 25min,26 June 2012 (USA),John Edginton
1261,"Just, Melvin: Just Evil",7.0,N/A,"1,544",1h 36min,January 2000 (USA),James Ronald Whitney
1262,"Sick: The Life & Death of Bob Flanagan, Supermasochist",7.5,82,"1,544",1h 30min,7 November 1997 (USA),Kirby Dick
1263,Dream Boat,5.3,N/A,"1,542",1h 32min,13 July 2017 (Germany),Tristan Ferland Milewski
1264,Birth of the Living Dead,7.0,65,"1,542",1h 16min,18 October 2013 (USA),Rob Kuhns
1265,Detropia,6.4,68,"1,542",1h 30min,21 January 2012 (USA),Heidi Ewing
1266,The Devil Came on Horseback,7.7,78,"1,541",1h 25min,11 April 2008 (UK),Ricki Stern
1267,Que Viva Mexico,7.5,N/A,"1,541",1h 30min,November 1979 (USA),Sergei M. Eisenstein
1268,The Redeemed and the Dominant: Fittest on Earth,7.1,N/A,"1,536",1h 44min,23 February 2016 (USA),Heber Cannon
1269,Kevin Smith: Sold Out - A Threevening with Kevin Smith,7.9,N/A,"1,534",2h 2min,Video 22 October 2008,Joey Figueroa
1270,Springsteen and I,7.3,N/A,"1,533",2h 4min,22 July 2013 (USA),Baillie Walsh
1271,Punk: Attitude,7.5,N/A,"1,532",1h 30min,4 July 2005 (USA),Don Letts
1272,"Metallica: Live Shit - Binge & Purge, San Diego",9.0,N/A,"1,531",5h 40min,Video,Wayne Isham
1273,Bronies: The Extremely Unexpected Adult Fans of My Little Pony,5.7,N/A,"1,530",1h 30min,19 January 2013 (USA),Laurent Malaquais
1274,After the Screaming Stops,7.1,N/A,"1,529",1h 38min,9 November 2018 (USA),Joe Pearlman
1275,GLOW: The Story of the Gorgeous Ladies of Wrestling,7.3,N/A,"1,529",1h 16min,15 March 2013 (Canada),Brett Whitcomb
1276,Kiss the Ground,8.3,N/A,"1,532",1h 24min,April 2020 (USA),Joshua Tickell
1277,The Zen Diaries of Garry Shandling,8.4,N/A,"1,527",4h 19min,TV Movie 26 March 2018,Judd Apatow
1278,Batman & Bill,8.0,N/A,"1,527",1h 33min,6 May 2017 (USA),Don Argott
1279,Regen,7.2,N/A,"1,527",12min,14 December 1929 (Netherlands),Mannus Franken
1280,Machete Maidens Unleashed!,7.4,N/A,"1,524",1h 24min,15 October 2010 (USA),Mark Hartley
1281,Dawson City: Frozen Time,7.5,86,"1,523",2h,6 September 2018 (Netherlands),Bill Morrison
1282,Depeche Mode: 101,8.3,N/A,"1,520",1h 57min,27 April 1989 (USA),David Dawkins
1283,Who Killed Garrett Phillips?,7.4,N/A,"1,520",3h 6min,24 July 2019 (Hungary),Liz Garbus
1284,Listen to Britain,6.6,N/A,"1,518",20min,February 1942 (UK),Humphrey Jennings
1285,Meeting Gorbachev,7.2,73,"1,516",1h 30min,3 May 2019 (USA),Werner Herzog
1286,Tempo di viaggio,7.3,N/A,"1,516",1h 2min,TV Movie 29 May 1983,Tonino Guerra
1287,My Generation,7.1,N/A,"1,513",1h 25min,14 August 2018 (USA),David Batty
1288,Dylan Moran: Monster,8.5,N/A,"1,513",1h 25min,Video 15 November 2004,Michael Matheson
1289,"Yuki yukite, shingun",8.2,N/A,"1,509",2h 2min,15 May 1988 (USA),Kazuo Hara
1290,I am Jane Doe,6.8,69,"1,508",1h 38min,10 February 2017 (USA),Mary Mazzio
1291,Maria By Callas,7.2,71,"1,506",1h 59min,2 November 2018 (USA),Tom Volf
1292,Fastball,7.4,74,"1,505",1h 27min,25 March 2016 (USA),Jonathan Hock
1293,Do You Trust This Computer?,7.4,62,"1,502",1h 18min,5 April 2018 (USA),Chris Paine
1294,All These Sleepless Nights,6.6,70,"1,503",1h 40min,7 April 2017 (USA),Michal Marczak
1295,The Eyes of Tammy Faye,7.1,69,"1,501",1h 19min,1 October 2000 (USA),Fenton Bailey
1296,Jimi Hendrix,7.8,N/A,"1,500",1h 38min,16 August 1973 (Netherlands),Joe Boyd
1297,Big River Man,7.3,68,"1,499",1h 40min,16 January 2009 (USA),John Maringouin
1298,Blackadder Rides Again,7.9,N/A,"1,497",1h 5min,TV Movie 25 December 2008,Matt O'Casey
1299,Kobe Bryant's Muse,7.9,N/A,"1,495",1h 45min,TV Movie 21 February 2015,Gotham Chopra
1300,The Freddie Mercury Tribute: Concert for AIDS Awareness,8.8,N/A,"1,493",2h 55min,TV Special 20 April 1992,David Mallet
1301,No Impact Man: The Documentary,6.7,66,"1,492",1h 33min,17 June 2010 (South Korea),Laura Gabbert
1302,Electrocuting an Elephant,2.9,N/A,"1,491",1min,12 January 1903 (USA),Edwin S. Porter
1303,Triumph Over Violence,8.2,N/A,"1,491",1h 22min,February 1968 (USA),Mikhail Romm
1304,Get Thrashed: The Story of Thrash Metal,7.9,N/A,"1,489",1h 40min,3 October 2006 (Brazil),Rick Ernst
1305,March for Freedom,8.0,N/A,"1,488",2h 14min,5 September 2019 (Brazil),Fred Rauh
1306,Louis Theroux: Twilight of the Porn Stars,7.3,N/A,"1,485",1h,TV Movie 10 June 2012,Jason Massot
1307,No No: A Dockumentary,7.2,68,"1,484",1h 40min,5 September 2014 (USA),Jeffrey Radice
1308,City 40,6.5,N/A,"1,483",1h 13min,1 September 2016 (Japan),Samira Goetschel
1309,Valentine Road,7.1,N/A,"1,482",1h 29min,4 October 2013 (USA),Marta Cunningham
1310,Glen Campbell: I'll Be Me,8.0,79,"1,479",1h 56min,21 September 2019 (Japan),James Keach
1311,What's My Name: Muhammad Ali,8.4,N/A,"1,477",2h 45min,15 May 2019 (Hungary),Antoine Fuqua
1312,Super Bowl LI Halftime Show Starring Lady Gaga,8.9,N/A,"1,476",14min,TV Special 5 February 2017,Hamish Hamilton
1313,PressPausePlay,7.5,N/A,"1,476",1h 20min,March 2011 (USA),David Dworsky
1314,Terror's Advocate,7.2,75,"1,476",2h 15min,6 June 2007 (France),Barbet Schroeder
1315,Kovasikajuttu,7.9,N/A,"1,471",1h 25min,4 May 2012 (Finland),Jukka Kärkkäinen
1316,Seasons,7.3,67,"1,470",1h 36min,25 November 2016 (USA),Jacques Perrin
1317,Sacro GRA,6.2,64,"1,470",1h 35min,19 September 2013 (Italy),Gianfranco Rosi
1318,The Meerkats,7.4,N/A,"1,470",1h 23min,7 August 2009 (UK),James Honeyborne
1319,Tricked: The Documentary,6.0,61,"1,467",1h 13min,13 December 2013 (USA),John Keith Wasson
1320,Catching Hell,7.9,N/A,"1,467",1h 42min,10 June 2011 (USA),Alex Gibney
1321,Im Schatten der Netzwelt,7.2,70,"1,466",1h 28min,17 May 2018 (Germany),Hans Block
1322,Matt Shepard Is a Friend of Mine,7.5,75,"1,466",1h 29min,6 February 2015 (USA),Michele Josue
1323,Is Genesis History?,4.2,N/A,"1,462",1h 40min,23 February 2017 (USA),Thomas Purifoy
1324,Art and Craft,7.1,68,"1,462",1h 29min,18 March 2015 (France),Sam Cullman
1325,She's Beautiful When She's Angry,7.8,80,"1,462",1h 32min,2 October 2014 (USA),Mary Dore
1326,Lovecraft: Fear of the Unknown,7.2,N/A,"1,461",1h 30min,24 July 2008 (USA),Frank H. Woodward
1327,Like Water,7.0,N/A,"1,460",1h 16min,1 June 2012 (USA),Pablo Croce
1328,Mayor of the Sunset Strip,7.0,71,"1,460",1h 34min,26 March 2004 (USA),George Hickenlooper
1329,To Be Takei,6.8,66,"1,458",1h 34min,22 August 2014 (USA),Jennifer M. Kroot
1330,La révélation des pyramides,7.9,N/A,"1,456",1h 46min,10 February 2010 (France),Patrice Pooyard
1331,The Flat,6.9,83,"1,456",1h 37min,14 June 2012 (Germany),Arnon Goldfinger
1332,In Search of Darkness,8.0,N/A,"1,454",4h 24min,13 October 2019 (Australia),David A. Weiner
1333,The First Monday in May,7.2,N/A,"1,453",1h 30min,15 April 2016 (USA),Andrew Rossi
1334,Screamers,6.0,N/A,"1,451",1h 31min,19 July 2007 (Lebanon),Carla Garapedian
1335,Midnight Movies: From the Margin to the Mainstream,7.4,N/A,"1,451",1h 26min,5 August 2005 (USA),Stuart Samuels
1336,News from Home,7.5,N/A,"1,448",1h 25min,8 June 1977 (France),Chantal Akerman
1337,Surplus: Terrorized Into Being Consumers,7.0,N/A,"1,446",54min,21 November 2003 (Netherlands),Erik Gandini
1338,I Called Him Morgan,7.3,90,"1,444",1h 32min,24 March 2017 (USA),Kasper Collin
1339,The Swedish Theory of Love,6.6,N/A,"1,443",1h 30min,8 January 2016 (Sweden),Erik Gandini
1340,Palme,7.6,N/A,"1,439",1h 43min,14 September 2012 (Sweden),Kristina Lindström
1341,Kobe Doin' Work,6.5,N/A,"1,439",1h 24min,TV Movie 25 April 2009,Spike Lee
1342,Casting By,7.6,70,"1,435",1h 29min,1 November 2013 (USA),Tom Donahue
1343,Bataille de neige,6.6,N/A,"1,435",1min,7 February 1897 (France),Louis Lumière
1344,Richard Pryor: Omit the Logic,7.3,N/A,"1,434",1h 23min,31 July 2013 (USA),Marina Zenovich
1345,Alien Planet,7.3,N/A,"1,434",1h 34min,TV Movie 14 May 2005,Pierre de Lespinois
1346,Newark Athlete,4.9,N/A,"1,434",1min,1 May 1891 (USA),William K.L. Dickson
1347,Tek Kisilik Dev Kadro 2,7.5,N/A,"1,433",1h 38min,Video 2012,Hakan Algül
1348,Surfwise,7.2,72,"1,431",1h 33min,9 May 2008 (USA),Doug Pray
1349,Hurricane of Fun: The Making of Wet Hot,7.0,N/A,"1,430",1h 4min,24 July 2015 (USA),Amy Rice
1350,Tales from the Script,7.1,N/A,"1,430",1h 45min,10 January 2009 (USA),Peter Hanson
1351,"Russell Peters: Red, White and Brown",8.1,N/A,"1,429",1h 20min,TV Special 7 October 2008,Jigar Talati
1352,Ice Guardians,7.5,N/A,"1,427",1h 48min,12 September 2016 (Canada),Brett Harvey
1353,Rats,6.5,62,"1,427",1h 24min,16 December 2016 (UK),Morgan Spurlock
1354,The Silence of Others,8.0,73,"1,426",1h 36min,8 May 2019 (USA),Robert Bahar
1355,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,7.2,67,"1,426",1h 37min,7 July 2006 (USA),Paul Crowder
1356,Iron Maiden: Live After Death,9.1,N/A,"1,426",1h 30min,Video 1985,James Yukich
1357,The Concert for Bangladesh,8.3,N/A,"1,426",1h 43min,31 May 1972 (France),Saul Swimmer
1358,Prophet's Prey,7.3,77,"1,425",1h 30min,18 September 2015 (USA),Amy Berg
1359,De nieuwe wildernis,7.3,N/A,"1,425",1h 37min,26 September 2013 (Netherlands),Ruben Smit
